"index","school_name","borough","building_code","average_math","average_reading","average_writing","percent_tested","total_SAT"
"0","New Explorations into Science, Technology and Math High School","Manhattan","M022","657","601","601","","1859"
"1","Essex Street Academy","Manhattan","M445","395","411","387","78.9","1193"
"2","Lower Manhattan Arts Academy","Manhattan","M445","418","428","415","65.1","1261"
"3","High School for Dual Language and Asian Studies","Manhattan","M445","613","453","463","95.9","1529"
"4","Henry Street School for International Studies","Manhattan","M056","410","406","381","59.7","1197"
"5","Bard High School Early College","Manhattan","M097","634","641","639","70.8","1914"
"6","Urban Assembly Academy of Government and Law","Manhattan","M445","389","395","381","80.8","1165"
"7","Marta Valle High School","Manhattan","M025","438","413","394","35.6","1245"
"8","University Neighborhood High School","Manhattan","M446","437","355","352","69.9","1144"
"9","New Design High School","Manhattan","M445","381","396","372","73.7","1149"
"10","Pace High School","Manhattan","M131","430","435","427","87.8","1292"
"11","High School for Health Professions and Human Services","Manhattan","M475","452","445","430","86.9","1327"
"12","High School for Language and Diplomacy","Manhattan","M460","446","433","411","70.2","1290"
"13","International High School at Union Square","Manhattan","M460","403","330","316","53.2","1049"
"14","Institute for Collaborative Education","Manhattan","M475","501","550","541","78.6","1592"
"15","Gramercy Arts High School","Manhattan","M460","446","459","455","79.6","1360"
"16","Urban Assembly New York Harbor School","Manhattan","M877","446","453","428","78.8","1327"
"17","Richard R. Green High School of Teaching","Manhattan","M282","411","415","409","60","1235"
"18","Millennium High School","Manhattan","M824","577","560","567","94","1704"
"19","Urban Assembly School of Business for Young Women","Manhattan","M282","418","420","417","","1255"
"20","High School of Economics and Finance","Manhattan","M833","469","442","447","66.8","1358"
"21","Leadership and Public Service High School","Manhattan","M894","390","396","392","54.9","1178"
"22","East Side Community School","Manhattan","M060","454","428","445","85.2","1327"
"23","Baruch College Campus High School","Manhattan","M874","592","526","531","94.3","1649"
"24","School of the Future High School","Manhattan","M660","534","533","522","89.9","1589"
"25","Manhattan Village Academy","Manhattan","M873","522","479","510","98.8","1511"
"26","NYC Lab School for Collaborative Studies","Manhattan","M070","595","550","555","79.8","1700"
"27","Hudson High School of Learning Technologies","Manhattan","M440","378","407","388","71.8","1173"
"28","Manhattan Business Academy","Manhattan","M440","410","407","399","69.7","1216"
"29","Landmark High School","Manhattan","M440","386","386","386","30.6","1158"
"30","High School of Fashion Industries","Manhattan","M600","433","442","427","80.6","1302"
"31","NYC Museum School","Manhattan","M070","560","530","522","90","1612"
"32","Chelsea Career and Technical Education High School","Manhattan","M615","439","418","400","80.4","1257"
"33","NYC iSchool","Manhattan","M615","518","515","503","96","1536"
"34","Manhattan Academy for Arts and Language","Manhattan","M620","350","334","321","46.1","1005"
"35","Unity Center for Urban Technologies","Manhattan","M620","375","385","387","62.8","1147"
"36","Business of Sports School","Manhattan","M625","395","386","371","67.5","1152"
"37","Facing History School","Manhattan","M535","366","356","371","57.3","1093"
"38","High School of Hospitality Management","Manhattan","M535","451","433","424","","1308"
"39","Urban Assembly School of Design and Construction","Manhattan","M535","445","417","403","60.6","1265"
"40","High School for Environmental Studies","Manhattan","M834","469","454","444","74","1367"
"41","Art and Design High School","Manhattan","M488","455","475","458","70.1","1388"
"42","Manhattan Bridges High School","Manhattan","M535","409","360","347","84.4","1116"
"43","Urban Assembly Gateway School for Technology","Manhattan","M625","445","432","415","78.4","1292"
"44","Food and Finance High School","Manhattan","M535","428","435","421","52","1284"
"45","Eleanor Roosevelt High School","Manhattan","M855","641","617","631","86","1889"
"46","High School for Arts, Imagination, and Inquiry","Manhattan","M490","375","389","380","58.8","1144"
"47","Urban Assembly School for Media Studies","Manhattan","M490","392","419","396","49.5","1207"
"48","Beacon High School","Manhattan","M837","583","586","595","82.8","1764"
